Naturadellincidente,Territorio,Anno,Totale,Popolazione
incidente a veicolo isolato,Bari,2004,35,314166
incidente a veicolo isolato,Bari,2005,35,321312
incidente a veicolo isolato,Bari,2006,43,326915
incidente a veicolo isolato,Bari,2007,30,325983
incidente a veicolo isolato,Bari,2008,34,325983
incidente a veicolo isolato,Bari,2009,38,321771
incidente a veicolo isolato,Bari,2010,15,320413
incidente a veicolo isolato,Bari,2011,21,320312
incidente a veicolo isolato,Bari,2012,42,319915
incidente a veicolo isolato,Bari,2013,22,314311
incidente a veicolo isolato,Firenze,2004,29,367259
incidente a veicolo isolato,Firenze,2005,15,367659
incidente a veicolo isolato,Firenze,2006,16,366901
incidente a veicolo isolato,Firenze,2007,6,366433
incidente a veicolo isolato,Firenze,2008,10,366433
incidente a veicolo isolato,Firenze,2009,16,365873
incidente a veicolo isolato,Firenze,2010,14,367280
incidente a veicolo isolato,Firenze,2011,13,370091
incidente a veicolo isolato,Firenze,2012,20,372075
incidente a veicolo isolato,Firenze,2013,12,361679
incidente a veicolo isolato,Milano,2004,34,1271898
incidente a veicolo isolato,Milano,2005,42,1285669
incidente a veicolo isolato,Milano,2006,57,1308735
incidente a veicolo isolato,Milano,2007,40,1306086
incidente a veicolo isolato,Milano,2008,27,1306086
incidente a veicolo isolato,Milano,2009,39,1296958
incidente a veicolo isolato,Milano,2010,27,1301600
incidente a veicolo isolato,Milano,2011,27,1315802
incidente a veicolo isolato,Milano,2012,66,1333670
incidente a veicolo isolato,Milano,2013,15,1251137
incidente a veicolo isolato,Napoli,2004,37,1000449
incidente a veicolo isolato,Napoli,2005,29,997810
incidente a veicolo isolato,Napoli,2006,39,984242
incidente a veicolo isolato,Napoli,2007,28,979690
incidente a veicolo isolato,Napoli,2008,42,979690
incidente a veicolo isolato,Napoli,2009,39,968484
incidente a veicolo isolato,Napoli,2010,28,963300
incidente a veicolo isolato,Napoli,2011,23,961257
incidente a veicolo isolato,Napoli,2012,52,958156
incidente a veicolo isolato,Napoli,2013,23,960079
incidente a veicolo isolato,Palermo,2004,30,679730
incidente a veicolo isolato,Palermo,2005,14,677504
incidente a veicolo isolato,Palermo,2006,30,670820
incidente a veicolo isolato,Palermo,2007,26,668686
incidente a veicolo isolato,Palermo,2008,22,668686
incidente a veicolo isolato,Palermo,2009,29,661752
incidente a veicolo isolato,Palermo,2010,21,657757
incidente a veicolo isolato,Palermo,2011,29,655979
incidente a veicolo isolato,Palermo,2012,18,654998
incidente a veicolo isolato,Palermo,2013,18,655908
incidente a veicolo isolato,Roma,2004,87,2542003
incidente a veicolo isolato,Roma,2005,95,2547938
incidente a veicolo isolato,Roma,2006,76,2547677
incidente a veicolo isolato,Roma,2007,93,2626640
